[ii] n=92103 bank=72204.2930 mode=multi target=4000 block_time=60.0s seed=11
[r2560] best=72204.2930 gains=0 lat=0 region~3937 free~590 t=82s status=OPTIMAL
[r2570] best=72204.2930 gains=0 lat=0 region~3918 free~578 t=83s status=OPTIMAL
[r2580] best=72204.2930 gains=0 lat=0 region~3956 free~602 t=83s status=OPTIMAL
[r2590] best=72204.2930 gains=0 lat=0 region~3954 free~617 t=83s status=OPTIMAL
[r2600] best=72204.2930 gains=0 lat=0 region~3972 free~605 t=84s status=OPTIMAL
[r2610] best=72204.2930 gains=0 lat=0 region~3942 free~593 t=84s status=OPTIMAL
[r2620] best=72204.2930 gains=0 lat=0 region~3965 free~589 t=84s status=OPTIMAL
[r2630] best=72204.2930 gains=0 lat=0 region~3922 free~573 t=85s status=OPTIMAL
[r2640] best=72204.2930 gains=0 lat=0 region~3936 free~583 t=85s status=OPTIMAL
[r2650] best=72204.2930 gains=0 lat=0 region~3980 free~636 t=85s status=OPTIMAL
[r2660] best=72204.2930 gains=0 lat=0 region~3929 free~601 t=86s status=OPTIMAL
[r2670] best=72204.2930 gains=0 lat=0 region~3972 free~600 t=87s status=OPTIMAL
[r2680] best=72204.2930 gains=0 lat=0 region~3959 free~623 t=87s status=OPTIMAL
[r2690] best=72204.2930 gains=0 lat=0 region~3943 free~603 t=88s status=OPTIMAL
[r2700] best=72204.2930 gains=0 lat=0 region~3979 free~594 t=89s status=OPTIMAL
[r2710] best=72204.2930 gains=0 lat=0 region~3974 free~581 t=89s status=OPTIMAL
[r2720] best=72204.2930 gains=0 lat=0 region~3939 free~608 t=90s status=OPTIMAL
[r2730] best=72204.2930 gains=0 lat=0 region~3954 free~575 t=91s status=OPTIMAL
[r2740] best=72204.2930 gains=0 lat=0 region~3964 free~615 t=91s status=OPTIMAL
[r2750] best=72204.2930 gains=0 lat=0 region~3953 free~603 t=92s status=OPTIMAL
[r2760] best=72204.2930 gains=0 lat=0 region~3954 free~618 t=92s status=OPTIMAL
[r2770] best=72204.2930 gains=0 lat=0 region~3956 free~612 t=93s status=OPTIMAL
[r2780] best=72204.2930 gains=0 lat=0 region~3957 free~585 t=94s status=OPTIMAL
[r2790] best=72204.2930 gains=0 lat=0 region~3968 free~604 t=94s status=OPTIMAL
[r2800] best=72204.2930 gains=0 lat=0 region~3937 free~603 t=94s status=OPTIMAL
[r2810] best=72204.2930 gains=0 lat=0 region~3968 free~603 t=95s status=OPTIMAL
[r2820] best=72204.2930 gains=0 lat=0 region~3927 free~597 t=96s status=OPTIMAL
[r2830] best=72204.2930 gains=0 lat=0 region~3965 free~604 t=96s status=OPTIMAL
[r2840] best=72204.2930 gains=0 lat=0 region~3978 free~611 t=97s status=OPTIMAL
[r2850] best=72204.2930 gains=0 lat=0 region~3968 free~614 t=98s status=OPTIMAL
[r2860] best=72204.2930 gains=0 lat=0 region~3945 free~592 t=98s status=OPTIMAL
[r2870] best=72204.2930 gains=0 lat=0 region~3942 free~601 t=99s status=OPTIMAL
[r2880] best=72204.2930 gains=0 lat=0 region~3974 free~600 t=100s status=OPTIMAL
[r2890] best=72204.2930 gains=0 lat=0 region~3972 free~602 t=100s status=OPTIMAL
Interrupted system call ; error code 4
