[E-756rr] bank 33490.458, 4479 matched. ruin-recreate K∈[100,400] 6000s seed7
[E-756rr] it10900: cur 33487.765 best 33490.458 (+0.000) T=0.518 acc10557 [184s]
[E-756rr] it10950: cur 33488.336 best 33490.458 (+0.000) T=0.506 acc10606 [185s]
[E-756rr] it11000: cur 33488.336 best 33490.458 (+0.000) T=0.493 acc10654 [185s]
[E-756rr] it11050: cur 33487.579 best 33490.458 (+0.000) T=0.481 acc10704 [186s]
[E-756rr] it11100: cur 33487.579 best 33490.458 (+0.000) T=0.469 acc10753 [187s]
[E-756rr] it11150: cur 33487.808 best 33490.458 (+0.000) T=0.457 acc10801 [188s]
[E-756rr] it11200: cur 33487.808 best 33490.458 (+0.000) T=0.446 acc10851 [189s]
[E-756rr] it11250: cur 33487.579 best 33490.458 (+0.000) T=0.435 acc10898 [189s]
[E-756rr] it11300: cur 33487.808 best 33490.458 (+0.000) T=0.424 acc10948 [190s]
[E-756rr] it11350: cur 33487.808 best 33490.458 (+0.000) T=0.414 acc10997 [191s]
[E-756rr] it11400: cur 33487.808 best 33490.458 (+0.000) T=0.404 acc11047 [192s]
[E-756rr] it11450: cur 33487.808 best 33490.458 (+0.000) T=0.394 acc11096 [193s]
[E-756rr] it11500: cur 33487.808 best 33490.458 (+0.000) T=0.384 acc11144 [193s]
[E-756rr] it11550: cur 33487.808 best 33490.458 (+0.000) T=0.374 acc11193 [194s]
[E-756rr] it11600: cur 33487.377 best 33490.458 (+0.000) T=0.365 acc11241 [195s]
[E-756rr] it11650: cur 33487.237 best 33490.458 (+0.000) T=0.356 acc11288 [196s]
[E-756rr] it11700: cur 33487.237 best 33490.458 (+0.000) T=0.347 acc11336 [197s]
[E-756rr] it11750: cur 33487.237 best 33490.458 (+0.000) T=0.339 acc11385 [197s]
[E-756rr] it11800: cur 33487.008 best 33490.458 (+0.000) T=0.330 acc11433 [198s]
[E-756rr] it11850: cur 33487.008 best 33490.458 (+0.000) T=0.322 acc11482 [199s]
[E-756rr] it11900: cur 33487.237 best 33490.458 (+0.000) T=0.314 acc11531 [200s]
[E-756rr] it11950: cur 33487.237 best 33490.458 (+0.000) T=0.307 acc11581 [201s]
[E-756rr] it12000: cur 33487.008 best 33490.458 (+0.000) T=0.299 acc11629 [202s]
[E-756rr] it12050: cur 33487.008 best 33490.458 (+0.000) T=0.292 acc11678 [202s]
[E-756rr] it12100: cur 33487.008 best 33490.458 (+0.000) T=0.284 acc11726 [203s]
[E-756rr] it12150: cur 33487.008 best 33490.458 (+0.000) T=0.277 acc11771 [204s]
[E-756rr] it12200: cur 33487.237 best 33490.458 (+0.000) T=0.271 acc11820 [205s]
[E-756rr] it12250: cur 33487.237 best 33490.458 (+0.000) T=0.264 acc11868 [206s]
[E-756rr] it12300: cur 33487.237 best 33490.458 (+0.000) T=0.257 acc11917 [207s]
[E-756rr] it12350: cur 33487.237 best 33490.458 (+0.000) T=0.251 acc11965 [208s]
[E-756rr] it12400: cur 33487.237 best 33490.458 (+0.000) T=0.245 acc12011 [208s]
[E-756rr] it12450: cur 33487.237 best 33490.458 (+0.000) T=0.239 acc12061 [209s]
[E-756rr] it12500: cur 33487.237 best 33490.458 (+0.000) T=0.233 acc12104 [210s]
[E-756rr] it12550: cur 33487.237 best 33490.458 (+0.000) T=0.227 acc12149 [211s]
[E-756rr] it12600: cur 33487.237 best 33490.458 (+0.000) T=0.221 acc12197 [212s]
[E-756rr] it12650: cur 33487.008 best 33490.458 (+0.000) T=0.216 acc12246 [213s]
[E-756rr] it12700: cur 33487.237 best 33490.458 (+0.000) T=0.211 acc12292 [213s]
[E-756rr] it12750: cur 33487.237 best 33490.458 (+0.000) T=0.205 acc12340 [214s]
[E-756rr] it12800: cur 33487.237 best 33490.458 (+0.000) T=0.200 acc12386 [215s]
[E-756rr] it12850: cur 33487.237 best 33490.458 (+0.000) T=0.195 acc12434 [216s]
[E-756rr] it12900: cur 33487.579 best 33490.458 (+0.000) T=0.191 acc12483 [217s]
[E-756rr] it12950: cur 33487.579 best 33490.458 (+0.000) T=0.186 acc12529 [218s]
[E-756rr] it13000: cur 33488.150 best 33490.458 (+0.000) T=0.181 acc12579 [219s]
[E-756rr] it13050: cur 33488.150 best 33490.458 (+0.000) T=0.177 acc12626 [219s]
[E-756rr] it13100: cur 33488.150 best 33490.458 (+0.000) T=0.172 acc12676 [220s]
[E-756rr] it13150: cur 33488.150 best 33490.458 (+0.000) T=0.168 acc12722 [221s]
[E-756rr] it13200: cur 33488.150 best 33490.458 (+0.000) T=0.164 acc12769 [222s]
[E-756rr] it13250: cur 33488.150 best 33490.458 (+0.000) T=0.160 acc12817 [223s]
