E-626 matching-i: bank=33338.1840 leader=33555.6150 budget=1800.0s nw=4
[coop seed=0 f=0.45] r=2125 best=33351.8 t=1704s
[coop seed=3 f=0.45] r=2175 best=33351.7 t=1704s
[coop seed=0 f=0.20] r=2150 best=33351.9 t=1705s
[coop seed=3 f=0.20] r=2200 best=33351.9 t=1706s
[coop seed=2 f=0.20] r=1850 best=33351.8 t=1707s
[coop seed=2 f=0.45] r=1875 best=33351.9 t=1708s
[coop seed=1 f=0.15] r=2025 best=33351.9 t=1712s
[coop seed=3 f=0.10] r=2225 best=33352.6 t=1714s
[coop seed=3 f=0.30] r=2250 best=33352.6 t=1715s
[coop seed=1 f=0.45] r=2050 best=33351.9 t=1715s
[coop seed=0 f=0.65] r=2175 best=33351.9 t=1716s
[coop seed=0 f=0.20] r=2200 best=33352.6 t=1721s
[coop seed=1 f=0.20] r=2075 best=33352.6 t=1726s
[coop seed=3 f=0.65] r=2275 best=33352.6 t=1729s
[coop seed=0 f=0.65] r=2225 best=33352.6 t=1730s
[coop seed=2 f=0.20] r=1900 best=33352.6 t=1732s
[coop seed=2 f=0.65] r=1925 best=33352.6 t=1736s
[coop seed=1 f=0.65] r=2100 best=33352.6 t=1738s
[coop seed=3 f=0.65] r=2300 best=33352.6 t=1757s
[coop seed=0 f=0.65] r=2250 best=33352.6 t=1758s
[coop seed=2 f=0.65] r=1950 best=33352.6 t=1765s
[coop seed=1 f=0.65] r=2125 best=33352.6 t=1766s
[coop seed=3 f=0.65] r=2325 best=33352.6 t=1785s
[coop seed=0 f=0.65] r=2275 best=33352.6 t=1787s
[coop seed=0 f=0.20] r=2300 best=33353.0 t=1793s
[coop seed=2 f=0.65] r=1975 best=33352.6 t=1793s
[coop seed=1 f=0.65] r=2150 best=33352.6 t=1795s
{
  "problem": "matching-i",
  "method": "parallel_coop_mip_lns",
  "n_workers": 4,
  "best_mass": 33352.986000000004,
  "best_seed": 0,
  "n_selected": 4459,
  "feasible": true,
  "wall_s": 1800.3,
  "per_worker_mass": [
    33352.6,
    33352.6,
    33353.0,
    33353.0
  ],
  "artifact": "/tmp/match_out/matching-i.json"
}

=== E-626 matching-i RESULT: best=33352.9860 vs bank 33338.1840 (+14.8020) vs leader 33555.6150 (-202.6290) ===
  -> STRICT IMPROVEMENT at /tmp/match_out/matching-i.json (guard-bank separately)
