error    libmamba Could not set lock (Resource temporarily unavailable)
warning  libmamba Cannot lock '/home/julian/.cache/mamba/proc'
    Waiting for other mamba process to finish
[TDSA-D] seed 601 cities, makespan 2075.3d strands 34; iters=40000 T0=18.0
[TDSA-D] it9600: cur 2490 best_mk 1433.4d best_strands 21 T=2.7 acc=37 [29382s]
[TDSA-D] it9650: cur 2490 best_mk 1433.4d best_strands 21 T=2.7 acc=37 [29518s]
[TDSA-D] it9700: cur 2490 best_mk 1433.4d best_strands 21 T=2.7 acc=37 [29674s]
[TDSA-D] it9750: cur 2490 best_mk 1433.4d best_strands 21 T=2.7 acc=38 [29812s]
[TDSA-D] it9800: cur 2490 best_mk 1433.4d best_strands 21 T=2.6 acc=38 [29960s]
[TDSA-D] it9850: cur 2490 best_mk 1433.4d best_strands 21 T=2.6 acc=38 [30088s]
[TDSA-D] it9900: cur 2490 best_mk 1433.4d best_strands 21 T=2.6 acc=38 [30220s]
[TDSA-D] it9950: cur 2490 best_mk 1433.4d best_strands 21 T=2.6 acc=38 [30382s]
[TDSA-D] it10000: cur 2490 best_mk 1433.4d best_strands 21 T=2.5 acc=38 [30535s]
[TDSA-D] it10050: cur 2490 best_mk 1433.4d best_strands 21 T=2.5 acc=38 [30688s]
[TDSA-D] it10100: cur 2490 best_mk 1433.4d best_strands 21 T=2.5 acc=38 [30855s]
[TDSA-D] it10150: cur 2490 best_mk 1433.4d best_strands 21 T=2.5 acc=38 [31004s]
[TDSA-D] it10200: cur 2490 best_mk 1433.4d best_strands 21 T=2.4 acc=38 [31155s]
[TDSA-D] it10250: cur 2490 best_mk 1433.4d best_strands 21 T=2.4 acc=38 [31310s]
[TDSA-D] it10300: cur 2490 best_mk 1433.4d best_strands 21 T=2.4 acc=38 [31478s]
[TDSA-D] it10350: cur 2490 best_mk 1433.4d best_strands 21 T=2.4 acc=38 [31618s]
[TDSA-D] it10400: cur 2490 best_mk 1433.4d best_strands 21 T=2.3 acc=38 [31770s]
[TDSA-D] it10450: cur 2490 best_mk 1433.4d best_strands 21 T=2.3 acc=38 [31918s]
[TDSA-D] it10500: cur 2490 best_mk 1433.4d best_strands 21 T=2.3 acc=38 [32064s]
[TDSA-D] it10550: cur 2490 best_mk 1433.4d best_strands 21 T=2.3 acc=38 [32209s]
[TDSA-D] it10600: cur 2490 best_mk 1433.4d best_strands 21 T=2.3 acc=38 [32360s]
[TDSA-D] it10650: cur 2490 best_mk 1433.4d best_strands 21 T=2.2 acc=38 [32526s]
[TDSA-D] it10700: cur 2490 best_mk 1433.4d best_strands 21 T=2.2 acc=38 [32668s]
[TDSA-D] it10750: cur 2490 best_mk 1433.4d best_strands 21 T=2.2 acc=38 [32827s]
[TDSA-D] it10800: cur 2490 best_mk 1433.4d best_strands 21 T=2.2 acc=38 [32972s]
[TDSA-D] it10850: cur 2490 best_mk 1433.4d best_strands 21 T=2.2 acc=38 [33123s]
[TDSA-D] it10900: cur 2490 best_mk 1433.4d best_strands 21 T=2.1 acc=38 [33282s]
[TDSA-D] it10950: cur 2490 best_mk 1433.4d best_strands 21 T=2.1 acc=38 [33430s]
[TDSA-D] it11000: cur 2490 best_mk 1433.4d best_strands 21 T=2.1 acc=38 [33579s]
[TDSA-D] it11050: cur 2490 best_mk 1433.4d best_strands 21 T=2.1 acc=38 [33761s]
[TDSA-D] it11100: cur 2490 best_mk 1433.4d best_strands 21 T=2.1 acc=38 [33895s]
[TDSA-D] it11150: cur 2490 best_mk 1433.4d best_strands 21 T=2.0 acc=38 [34025s]
